,Rule
61,Garage Cars > 2.5 & Gr Liv Area <= 2854.0
62,Gr Liv Area <= 1396.0 & Overall Qual <= 7.5
63,Garage Cars > 2.5 & Total Bsmt SF > 1843.0
64,Total Bsmt SF <= 1259.0 & 2nd Flr SF > 776.5
65,Total Bsmt SF <= 1195.0 & Gr Liv Area <= 1778.0
66,Overall Qual > 5.5 & Gr Liv Area <= 1958.5 & Overall Qual <= 7.5 & Total Bsmt SF <= 1473.5 & Year Built > 1980.5
67,Kitchen Qual > 3.0 & Garage Cars <= 2.5 & Garage Cars > 1.5
68,Gr Liv Area > 1709.5 & Garage Cars <= 2.5
69,Gr Liv Area <= 2303.0 & Year Built > 1985.0
70,Garage Type > 4.0 & Overall Qual > 5.5 & Overall Qual <= 7.5 & Gr Liv Area > 1958.5
71,Gr Liv Area <= 1807.0
72,Year Remod/Add <= 1992.5 & Gr Liv Area > 1658.0
73,Bsmt Qual > 0.5 & Gr Liv Area > 1742.5
74,Year Built <= 1958.5 & Overall Qual <= 7.5 & Gr Liv Area > 1300.5
75,Garage Cars > 2.5 & Overall Qual > 6.5 & Gr Liv Area <= 2240.0
76,1st Flr SF <= 1718.5 & Overall Qual > 6.5
77,Overall Qual <= 6.5 & Garage Type > 3.5 & Overall Cond <= 5.5
78,Full Bath > 1.5 & Overall Qual <= 7.5
79,Gr Liv Area <= 1219.0 & Overall Qual <= 7.5
80,Year Built > 1983.5 & Overall Qual <= 8.5
81,Overall Qual > 7.5 & Bsmt Qual > 1.0
82,Year Built <= 1975.5 & Gr Liv Area <= 2138.0
83,Gr Liv Area <= 1867.5 & Year Built <= 1986.5
84,Overall Qual > 7.5 & Lot Frontage <= 81.5 & Overall Qual > 8.5 & Lot Area <= 11770.0 & 2nd Flr SF <= 1086.0
85,Year Built <= 1983.5 & Gr Liv Area <= 2311.5
86,Total Bsmt SF <= 1217.0 & Gr Liv Area <= 1658.0
87,Total Bsmt SF <= 1448.5
88,Garage Cars > 2.5 & 1st Flr SF <= 2397.0
89,1st Flr SF > 1817.5
90,Gr Liv Area <= 1717.5 & Garage Type <= 3.5
91,2nd Flr SF > 1501.5 & BsmtFin SF 1 > 955.0
92,Overall Qual > 7.5 & Lot Config > 2.5 & 1st Flr SF > 1969.0
93,1st Flr SF <= 1326.5 & Gr Liv Area <= 2244.5
94,Gr Liv Area <= 1491.5
95,Gr Liv Area > 1717.5 & Kitchen Qual <= 0.5
96,Overall Qual <= 5.5 & Overall Qual <= 8.5
97,Bsmt Exposure <= 1.5 & Gr Liv Area > 2244.5
98,Total Bsmt SF > 1226.5
99,Garage Cars <= 2.5 & Kitchen Qual <= 3.0 & Garage Cars > 1.5
100,Overall Qual > 6.5 & Gr Liv Area > 1963.0 & Overall Qual <= 8.5
101,Kitchen Qual > 1.0 & Gr Liv Area > 1778.0
102,Overall Qual > 6.5
103,Overall Qual <= 6.5 & Gr Liv Area > 1361.0
104,Bsmt Qual > 0.5 & Garage Cars > 1.5
105,Overall Qual > 7.5 & Overall Qual <= 9.5 & Lot Area > 11770.0 & Gr Liv Area > 1647.0 & Lot Area > 14390.5
106,Overall Qual > 5.5 & Kitchen Qual > 0.5
107,Overall Qual > 7.5 & 2nd Flr SF <= 1564.5 & Gr Liv Area > 2265.0
108,Bsmt Qual > 0.5 & Gr Liv Area <= 1922.0
109,Overall Qual > 7.5 & Pool QC > 1.5
110,Overall Qual > 7.5 & Overall Qual <= 8.5
111,Overall Qual > 8.5
112,Overall Qual > 6.5 & Total Bsmt SF <= 1837.0
113,Gr Liv Area <= 1878.0
114,Gr Liv Area > 2138.0 & Total Bsmt SF <= 2273.5
115,Overall Qual > 7.5 & Gr Liv Area <= 2173.5 & 1st Flr SF > 1875.0
116,1st Flr SF > 1718.5 & Overall Qual > 6.5
117,Garage Cars <= 2.5 & Overall Qual > 6.5
118,Gr Liv Area <= 1961.5 & Year Built <= 1980.5
119,BsmtFin SF 1 <= 2030.5 & BsmtFin SF 1 > 1089.0
120,Overall Qual > 7.5 & Screen Porch > 61.5 & Kitchen Qual <= 1.0
121,Year Built <= 1987.5 & Overall Qual <= 8.5
122,Garage Cars > 2.5 & Gr Liv Area > 2854.0
123,Overall Qual > 7.5 & Lot Area > 26902.0
124,2nd Flr SF <= 1501.5 & BsmtFin SF 1 > 955.0
125,Gr Liv Area > 1850.0
126,Gr Liv Area <= 1651.5 & Total Bsmt SF > 1259.0
127,Gr Liv Area <= 1300.5 & Overall Qual <= 7.5
128,Total Bsmt SF > 1448.5 & Total Bsmt SF > 2529.5
129,Overall Qual > 7.5 & Overall Qual <= 9.5
130,Total Bsmt SF <= 1307.0 & Gr Liv Area <= 1795.0 & Overall Qual > 6.5
131,Kitchen Qual > 0.5
132,Overall Qual <= 6.5 & Gr Liv Area > 2668.5
133,Gr Liv Area > 1491.5
134,Total Bsmt SF > 1272.5 & Gr Liv Area <= 1709.5
135,Gr Liv Area > 1946.5 & Total Bsmt SF <= 1392.5
136,Overall Qual > 5.5 & Overall Qual <= 7.5 & Garage Type <= 4.0 & Gr Liv Area > 1958.5
137,Gr Liv Area <= 2244.5 & 1st Flr SF > 1326.5
138,Gr Liv Area <= 1752.5
139,Overall Qual > 5.5 & Gr Liv Area <= 1958.5 & Overall Qual <= 7.5 & Year Built > 1980.5 & Total Bsmt SF > 1473.5
140,Overall Qual <= 4.5 & Overall Qual <= 7.5 & Overall Qual <= 5.5 & Total Bsmt SF > 793.5
141,Year Built > 1975.5 & Gr Liv Area <= 2138.0
142,Total Bsmt SF <= 2382.0 & Overall Qual > 8.5
143,Total Bsmt SF > 1392.5 & Overall Qual <= 9.5
144,Garage Area > 720.0 & 1st Flr SF <= 1619.0 & Overall Qual > 6.5
145,Gr Liv Area > 2311.5 & 2nd Flr SF > 371.5 & 2nd Flr SF <= 1827.0
146,Gr Liv Area > 1961.5
147,Total Bsmt SF > 1217.0 & Gr Liv Area <= 1658.0
148,Total Bsmt SF <= 1621.0
149,Overall Qual > 7.5 & 1st Flr SF <= 1969.0
150,Kitchen Qual > 0.5 & Gr Liv Area > 1524.0
151,Overall Qual <= 7.5 & Overall Qual <= 5.5 & Overall Qual > 4.5
152,Overall Qual > 7.5 & BsmtFin SF 1 > 1314.0 & Gr Liv Area <= 2821.5
153,Overall Qual <= 7.5 & Overall Qual <= 5.5
154,BsmtFin SF 1 > 725.5 & Garage Cars <= 2.5 & Overall Qual > 6.5
155,Overall Qual > 7.5 & Lot Frontage <= 81.5 & Lot Area <= 11770.0 & 2nd Flr SF <= 1086.0 & Overall Qual <= 8.5
156,BsmtFin SF 1 > 1701.5 & Overall Qual > 6.5 & Gr Liv Area > 1795.0
157,Year Built > 1978.5 & Bsmt Qual > 1.0
158,Garage Yr Blt > 2004.5 & Gr Liv Area > 1878.0
159,Gr Liv Area > 1781.0
160,Overall Qual > 5.5 & Overall Qual <= 8.5
161,Overall Qual > 8.5 & 1st Flr SF > 2307.0
162,Gr Liv Area > 1482.5
163,Overall Qual > 7.5 & Kitchen Qual <= 1.0 & Screen Porch <= 61.5
164,Total Bsmt SF <= 1599.0
165,Garage Type > 3.5 & Overall Qual <= 7.5
166,Gr Liv Area > 1642.0 & Year Built > 1982.5
167,Gr Liv Area > 1952.5 & Total Bsmt SF <= 2394.0 & 1st Flr SF > 1465.5
168,Gr Liv Area > 1807.0 & Lot Frontage <= 144.5
169,Gr Liv Area <= 1742.5 & Overall Qual <= 4.5
170,Overall Qual > 8.5 & Total Bsmt SF > 2382.0
171,Total Bsmt SF > 1448.5 & Total Bsmt SF <= 2529.5
172,BsmtFin SF 1 <= 725.5 & Garage Cars <= 2.5 & Overall Qual > 6.5
173,Bsmt Qual > 0.5
174,Garage Cars > 2.5 & Gr Liv Area > 2240.0 & Bsmt Half Bath > 0.5 & Overall Qual > 6.5
175,Bsmt Exposure > 1.5 & Gr Liv Area > 2244.5
176,Total Bsmt SF > 1383.5 & Overall Qual > 6.5
177,Garage Cars <= 1.5 & Garage Cars <= 2.5
178,Bsmt Qual <= 0.5 & Mo Sold <= 5.5 & Gr Liv Area > 1742.5
179,Overall Qual > 7.5 & Total Bsmt SF <= 1905.0
180,Gr Liv Area > 2303.0
181,Bsmt Qual > 0.5 & Gr Liv Area > 1387.5
182,Kitchen Qual <= 0.5 & Overall Qual > 5.5
183,Overall Qual <= 8.5
184,Gr Liv Area > 1658.0 & Year Remod/Add > 1992.5
185,Garage Cars > 2.5 & Mas Vnr Area <= 392.5
186,Year Built > 1983.5 & Gr Liv Area <= 2311.5
187,Overall Qual > 7.5 & Total Bsmt SF > 1905.0
188,Year Built > 1976.5 & Gr Liv Area <= 1949.5
189,Overall Qual <= 6.5 & Overall Qual <= 8.5
190,Gr Liv Area <= 1709.5 & Total Bsmt SF <= 1272.5
191,Year Built <= 1983.0 & Lot Area > 12075.0
192,Overall Qual > 7.5 & Gr Liv Area <= 2265.0 & 2nd Flr SF <= 1564.5
193,Gr Liv Area <= 1245.5 & Overall Qual <= 7.5
194,Gr Liv Area <= 1742.5 & Overall Qual > 4.5
195,Overall Qual > 7.5 & Bsmt Qual <= 1.0
196,Overall Qual > 7.5 & TotRms AbvGrd > 9.5
197,Overall Qual <= 7.5 & Gr Liv Area > 1396.0
198,Total Bsmt SF > 2394.0 & 1st Flr SF > 1465.5
199,Overall Qual <= 7.5 & Full Bath <= 1.5
200,Total Bsmt SF > 1259.0 & Gr Liv Area > 1651.5
201,Overall Qual <= 4.5 & Overall Qual <= 7.5 & Total Bsmt SF <= 793.5 & Overall Qual <= 5.5
202,Bsmt Qual <= 0.5 & Mo Sold > 5.5 & Gr Liv Area > 1742.5
203,Garage Cars > 2.5
204,Year Built > 1982.5 & Gr Liv Area <= 1642.0
205,Lot Area <= 12075.0 & Year Built <= 1983.0
206,Garage Cars > 2.5 & Mas Vnr Area > 392.5 & Order <= 476.5
207,Full Bath > 2.5 & 1st Flr SF > 1286.5
208,Kitchen Qual <= 0.5
209,Gr Liv Area > 2338.0 & Overall Qual <= 7.5 & Gr Liv Area > 1300.5 & Year Built > 1958.5
210,Kitchen Qual > 1.0 & Gr Liv Area > 1867.5
211,Total Bsmt SF <= 1397.0
212,Overall Qual <= 6.5 & Gr Liv Area <= 1230.0 & Garage Cars <= 2.5
213,1st Flr SF > 2059.0 & Overall Qual > 6.5 & Bsmt Qual <= 1.0
214,Total Bsmt SF > 1198.5 & Gr Liv Area > 1492.0
215,Overall Qual > 7.5 & Gr Liv Area > 2821.5
216,Garage Type > 3.5 & BsmtFin SF 1 <= 955.0
217,Overall Qual > 8.5 & BsmtFin SF 1 > 3084.0
218,Gr Liv Area > 2311.5 & 2nd Flr SF <= 371.5 & 2nd Flr SF <= 1827.0
219,Garage Cars > 2.5 & Total Bsmt SF <= 1843.0
220,Gr Liv Area > 1778.0 & Kitchen Qual <= 1.0 & Gr Liv Area <= 3038.5
221,Full Bath <= 2.5 & 1st Flr SF > 1286.5
222,1st Flr SF <= 2059.0 & Overall Qual > 6.5 & Bsmt Qual <= 1.0
223,Overall Qual > 7.5 & 2nd Flr SF > 1564.5
224,Gr Liv Area > 1872.0 & Overall Qual > 6.5
225,Overall Qual > 7.5 & Lot Config <= 2.5 & 1st Flr SF > 1969.0
226,Year Built > 1983.5 & Gr Liv Area > 1743.0 & 1st Flr SF <= 1465.5
227,Overall Qual > 5.5 & Overall Qual <= 7.5
228,Overall Qual > 7.5 & Lot Area <= 11770.0 & Lot Frontage > 81.5
229,Year Built > 1986.5 & Gr Liv Area <= 1867.5
230,Overall Qual > 7.5 & Full Bath > 2.5
231,Total Bsmt SF > 1195.0 & Gr Liv Area <= 1778.0
232,Overall Qual <= 5.5
233,Total Bsmt SF > 1397.0 & Gr Liv Area <= 2223.0
234,Total Bsmt SF > 1621.0
235,Overall Qual <= 6.5 & Garage Cars <= 2.5 & Gr Liv Area > 1230.0
236,Overall Qual > 7.5 & Lot Area <= 26902.0
237,Overall Qual > 7.5
238,Overall Qual > 7.5 & Full Bath <= 2.5
239,1st Flr SF <= 1619.0 & Garage Area <= 720.0 & Overall Qual > 6.5
240,Overall Qual > 7.5 & 1st Flr SF <= 1875.0 & Lot Frontage <= 81.0
241,Year Built > 1973.5 & Overall Qual <= 7.5
242,Overall Qual > 7.5 & Overall Qual > 9.5
243,Garage Area > 636.0 & Overall Qual > 6.5
244,Gr Liv Area <= 1482.5
245,1st Flr SF <= 1465.5 & Year Built <= 1983.5
246,Garage Cars <= 1.5 & Gr Liv Area <= 2231.5
247,Kitchen Qual <= 0.5 & Gr Liv Area > 1524.0
248,Gr Liv Area <= 2338.0 & Overall Qual <= 7.5 & Gr Liv Area > 1300.5 & Year Built > 1958.5
249,Overall Qual <= 6.5 & Garage Cars <= 1.5 & Garage Type <= 3.5
250,Overall Qual <= 7.5
251,Gr Liv Area <= 1963.0 & Overall Qual > 6.5 & Overall Qual <= 8.5
252,Gr Liv Area <= 1795.0 & Overall Qual > 8.5 & Total Bsmt SF > 1307.0 & Overall Qual > 6.5
253,Overall Qual > 7.5 & TotRms AbvGrd <= 9.5
254,Year Built > 1987.5 & Overall Qual <= 8.5
255,Overall Qual <= 6.5 & Garage Type > 3.5 & Overall Cond > 5.5
256,Overall Qual <= 7.5 & Gr Liv Area <= 1354.0
257,Bsmt Qual <= 0.5
258,Gr Liv Area <= 1949.5 & Year Built <= 1976.5
259,Gr Liv Area > 1973.0 & Year Built > 1983.0
260,Garage Type > 3.5 & Gr Liv Area <= 1717.5
261,Total Bsmt SF > 1392.5 & Overall Qual > 9.5
262,Gr Liv Area > 1969.5 & Overall Qual > 6.5
263,Gr Liv Area <= 1387.5 & Bsmt Qual > 0.5
264,Bsmt Qual > 1.0 & Overall Qual > 6.5
265,Gr Liv Area <= 1951.0
266,Overall Qual <= 6.5 & Lot Area > 19623.0 & Garage Type <= 3.5 & Garage Cars > 1.5
267,Total Bsmt SF <= 1202.5 & BsmtFin SF 1 <= 1701.5 & Overall Qual > 6.5 & Gr Liv Area > 1795.0
268,Overall Qual > 7.5 & Lot Area <= 14390.5 & Overall Qual <= 9.5 & Lot Area > 11770.0 & Gr Liv Area > 1647.0
269,Gr Liv Area > 1709.5 & Garage Cars > 2.5
270,Overall Qual > 7.5 & Pool QC <= 1.5
271,Gr Liv Area <= 2045.0 & Overall Qual > 6.5
272,Gr Liv Area > 1752.5
273,Overall Qual <= 6.5 & Lot Area <= 19623.0 & Garage Type <= 3.5 & Garage Cars > 1.5
274,1st Flr SF <= 1817.5
275,Year Built > 1978.5 & Bsmt Qual <= 1.0
276,BsmtFin SF 1 > 1089.0 & BsmtFin SF 1 > 2030.5
277,Year Built <= 1982.5
278,Overall Qual <= 7.5 & Gr Liv Area <= 1312.0
279,Gr Liv Area > 1951.0
280,Overall Qual > 7.5 & BsmtFin SF 1 > 1149.5
281,Gr Liv Area > 1289.5 & Overall Qual <= 7.5 & Overall Qual <= 5.5
282,Gr Liv Area > 1920.0 & Overall Qual > 6.5
283,Overall Qual > 6.5 & Overall Qual <= 8.5
284,Garage Area <= 636.0 & Overall Qual > 6.5
285,Overall Qual <= 7.5 & Gr Liv Area <= 1319.5
286,Gr Liv Area <= 1850.0
287,Year Built <= 1983.5 & Overall Qual <= 8.5
288,2nd Flr SF <= 776.5 & Total Bsmt SF <= 1259.0
289,Overall Qual > 5.5
290,Overall Qual > 7.5 & BsmtFin SF 1 <= 1149.5
291,Gr Liv Area <= 1361.0 & Overall Qual <= 6.5
292,Gr Liv Area > 1312.0 & Overall Qual <= 7.5
293,Overall Qual <= 6.5 & Overall Qual <= 4.5
294,Year Built > 1976.5 & Garage Cars <= 2.5
295,Total Bsmt SF > 1837.0 & Overall Qual > 6.5
296,Fireplaces <= 0.5
297,Overall Qual > 7.5 & Lot Area > 11770.0 & Overall Qual > 9.5
298,Overall Qual <= 7.5 & Year Built <= 1973.5
299,Year Built <= 1978.5
300,Garage Yr Blt <= 2004.5 & Gr Liv Area > 1878.0
301,Overall Qual > 7.5 & 1st Flr SF <= 1875.0 & Lot Frontage > 81.0
302,Gr Liv Area > 1319.5 & Overall Qual <= 7.5
303,Total Bsmt SF > 1202.5 & BsmtFin SF 1 <= 1701.5 & Overall Qual > 6.5 & Gr Liv Area > 1795.0
304,Gr Liv Area <= 2231.5 & Garage Cars > 1.5
305,Total Bsmt SF <= 2394.0 & Gr Liv Area <= 1952.5 & 1st Flr SF > 1465.5
306,Gr Liv Area <= 1492.0
307,Gr Liv Area <= 1920.0 & Overall Qual > 6.5
