x,y,z,__prediction
8.734404,-0.89206743,6.4161825,238463.56310148758
5.6553454,5.260207,4.841691,214449.0406435227
6.067014,1.001359,7.6460333,221975.7930219191
11.240627,-1.3987627,6.34284,187918.05535193963
5.896898,1.0649986,7.567093,239996.5353144065
-2.9343379,1.0291376,-5.7154655,139393.44406276543
1.0985675,0.7304859,-0.4692874,200884.00492296746
-2.9372497,1.0275755,-5.722692,132825.5824143204
-2.2929833,0.90792274,-6.0431137,136977.7322216077
9.848951,-1.2245455,6.198758,198124.62039514008
-3.0115807,1.0245075,-5.586079,152748.2891182261
-2.1684823,-0.725811,-3.0763912,153930.4104867457
-13.0143585,-6.607044,-6.9157124,95513.70622505
-1.9059002,-0.48583317,-0.7957337,132694.52721555508
-5.8106804,-6.435174,-5.6248426,148866.9451733663
2.5877514,-8.332457,-17.895676,122288.80293153171
2.6101575,-8.351464,-17.88483,114788.71777353206
-4.6485224,0.55197525,-16.6759,130311.5002864011
-8.094688,-6.0447664,-8.148321,123665.30874543896
-2.4547086,-0.500185,-2.9853957,186732.98310053814
8.823322,-0.9796667,6.3391848,222578.87990523348
3.9283433,2.640047,7.5580444,310363.32258981536
3.9573097,2.9061995,7.8966074,288115.43553617323
5.7217298,5.285719,5.0237894,253822.7589977918
2.1634717,-5.5930424,12.539331,192735.1935906931
7.973906,-6.5066714,6.081314,156107.02945205738
7.9390283,-6.542158,6.1097536,156107.02945205738
7.9362674,-6.54101,6.1163445,156107.02945205738
5.203151,4.13525,-0.53016686,156706.16696480903
5.585524,5.2914257,4.761286,217301.3691312656
4.5780272,3.543353,-1.0664678,172114.09811202638
4.587633,3.5514336,-1.0550168,169914.28779702217
8.648682,-11.815844,-3.875992,161574.5540020874
8.398619,-5.913953,5.883212,165137.8769185794
5.5723424,5.435176,5.578083,275031.48195104074
3.065899,2.8560333,10.359896,235353.85403875838
2.5778055,2.9271326,10.971304,190707.97254218825
2.5406494,2.9499912,11.01157,201156.59910271864
-2.698923,-0.39452267,-3.8879786,171761.65517626063
4.8825808,-2.1538258,5.6961384,229816.89037484865
-2.6029348,1.096179,-1.9789493,159421.91003799287
-0.6927905,0.008702278,0.3230796,270586.76324529346
-3.4121845,1.2069206,-2.6789694,210782.28962249059
-2.050253,-0.2718811,-0.93785095,202055.91928949676
10.676651,-1.4381909,6.1993265,187415.84094342528
-2.709682,0.07328606,-4.1868496,172744.10400076007
-2.3306894,-0.51439476,-2.481739,152445.36913648716
-4.4470515,1.1802063,-15.613059,151620.55016139595
-2.975491,0.53444576,-3.8950624,157096.5963285832
-15.619137,-7.819437,9.397556,94145.86058954644
-4.2836685,1.0751143,-15.431224,148310.32638625053
-2.8622067,0.8651066,-2.7584348,174395.30871245416
-1.9615486,-0.49368763,-0.9978061,145688.38176540763
-4.063452,1.0838375,-15.275286,167919.40637204313
-2.5128512,1.3855038,-5.3641715,147320.99969108007
-2.944753,1.1450129,-2.3332992,178354.93755336793
-4.96772,1.9805441,-16.892685,120074.10090589139
-1.0555573,0.026802063,0.32542682,195988.78687920267
-2.2482636,-0.69640446,-2.901177,168175.2531849848
-8.727161,-6.5282273,-8.02952,112717.55019693883
-15.603395,2.4899378,9.972015,90776.94494723217
-5.130379,2.3850164,-16.85625,113107.65631451226
-2.424288,-0.42578506,-2.684626,156960.61601872125
-4.789499,1.673625,-16.152596,131756.245270112
-2.255867,0.88700485,-5.964883,161881.1471669119
-1.5767188,-0.38313484,-0.010312319,151236.63757772124
4.9606895,0.69721603,6.9162807,260554.74717761608
-2.9004912,1.0575104,-2.2103899,231998.22188067986
-2.6624658,0.91419125,-2.548532,144564.79676586486
5.302133,-1.615562,4.6507597,236712.40400435193
-4.8279705,0.88864803,-16.506388,138109.83649810153
-2.6697247,0.7606106,-2.5753157,165207.7185288172
-3.5440464,0.23168373,-3.5276954,140693.58927284696
-2.1597483,0.67165375,-5.8847957,135165.8196528554
-4.076889,1.0092125,-15.264898,153159.61725174027
-4.465923,1.1991053,-15.625668,152558.47981872043
-4.783017,1.2885208,-16.09629,139586.92057082048
-2.4491756,-0.24317074,-2.6467361,154510.26874418184
-7.124586,-1.1076365,2.3630805,93682.93205630576
-10.07208,-8.015834,-8.247221,112564.73827053988
-5.1793213,1.5680485,-16.384018,119131.90200939134
-4.2550406,1.8336449,-17.28571,123431.85490295611
-8.887108,-6.6333265,-8.043186,121441.3292424468
-13.064964,-4.909114,6.613309,92035.68235828774
-10.253645,-8.0478325,-7.765543,113961.54993154977
-3.968762,1.3412743,-15.396942,120421.563262649
-5.0728903,2.2570105,-16.840237,116823.17268592946
-3.1415248,-0.6175823,-3.3678367,152908.7790233342
5.9730773,1.0661297,-10.734425,137610.16294855284
-4.618681,-2.96096,-4.0145464,146169.2492585531
5.2317376,0.64660263,7.2991858,264876.98310188495
7.064875,-0.3968048,-11.185095,122098.37446101621
-4.7416854,1.5436316,-16.19841,146112.01320414862
-4.4544463,-2.5757804,-3.764074,126155.9821411457
-5.3392944,-5.309328,-4.6107225,119015.47412428728
-2.498602,1.2895288,-5.228264,137287.12615685596
-5.761636,-6.4394474,-5.5526843,142243.81016063355
-2.934342,0.63909817,-3.632367,176716.85069051626
-2.0179698,-0.44564724,-1.1033108,159252.5455474688
-2.122113,-0.5223026,-0.9275589,136513.7548671064
-15.695293,2.3857088,9.872194,82435.52416774063
-11.168003,-7.4334264,-7.702486,103013.79138304965
-5.5582285,-5.530341,-4.879651,109464.52723679705
-3.6410842,0.09060669,-3.4694676,147450.44834969717
-6.503828,-1.1654062,1.781012,101361.61460993644
-15.698145,-1.5322571,5.663515,78431.03421997454
-5.0741224,2.1813612,-16.71059,116626.42751539093
-4.428804,-2.6120358,-3.8095398,117216.33991512861
6.832248,-0.36406994,-11.221338,117253.88940950586
-3.3044167,-1.7618275,-2.0951276,165310.7090948978
-4.9803123,-2.7176647,-3.943513,117642.88440707441
-13.024509,-4.9888167,6.5432587,88588.00896778726
5.805653,0.8098984,-10.929098,117367.6906812393
2.7442636,2.91889,10.7447815,175719.79752459083
-3.3455923,-1.9017134,-1.9634763,132591.80792357208
4.6857634,2.9792805,8.069356,242367.19529952016
-1.4472481,-0.4925089,0.0010194778,139428.99993189808
-2.5739515,0.9704809,-5.1347017,153262.31692200396
-7.0217557,-1.1479497,2.2731571,107316.52211679396
-1.5854495,-0.3431139,0.025450706,126808.72558562669
5.775309,-0.025377274,-10.361635,135916.94370827172
-3.3928113,-1.9367208,-1.9961051,135655.34326271754
5.66548,0.30039597,7.4872932,205145.70914258753
-15.547192,2.9992952,10.35806,80740.46145302997
6.998368,-0.54653645,-11.742845,107767.53249069222
5.865664,0.5531111,-10.846096,132666.11205093938
-4.534646,-2.1972847,-3.3602273,126510.17981254494
5.79732,-0.06830692,-10.346743,117362.31121149732
-5.2364173,-5.2233267,-4.746936,115764.54590432535
-3.2434478,-1.7713356,-2.2047868,134151.89564603523
7.292151,-0.5026369,-11.624086,118618.54237058101
5.9779315,-0.9711485,7.692712,153595.79785668143
-1.6869473,-0.123295784,0.0054080486,137235.30153480798
-1.816978,-1.0174637,-2.820498,155053.07451162717
5.9596944,-0.03764534,-10.516783,115221.09411532304
-5.595476,-7.9297976,-6.652473,117523.93725586226
-15.7414,2.6307316,10.115246,80740.46145302997
-1.7866845,-0.7064581,-1.311835,173191.273207389
5.199308,0.4395094,7.4161434,216135.23288968852
-2.8621526,0.81407547,-2.7095232,169469.65464214986
-11.991526,-6.5973396,-6.9726524,106695.12585857429
-4.5306582,-2.2019415,-3.3420985,125533.16616386402
7.0194554,-0.5416565,-11.741827,99969.19627899179
-1.9850454,-0.56899834,-0.61783624,103878.6381452911
-3.2388847,-1.7591748,-2.183943,144505.5706906611
-13.005497,-6.6052656,-6.914625,95513.70622505
-2.5767481,1.120822,-1.9579058,132718.5573104546
-2.5646188,1.1177225,-2.0007691,118673.29750851984
-3.9095578,1.0317831,-15.207759,138759.18172861042
-3.5882254,0.616127,-3.075337,175596.95073584368
-8.133802,-6.081567,-8.164051,131165.39390343864
-4.427566,1.4723768,-17.081802,135901.43906387297
2.617372,-8.359137,-17.894115,120891.99127052183
-2.5739698,-0.059491158,-4.26186,145217.12003339262
-8.091949,-6.0422025,-8.142721,123665.30874543896
-3.6441245,0.5314045,-3.16862,179941.21088426077
-3.6613128,-0.8141279,-3.3332386,135500.77929872664
-2.690345,-0.28335285,-4.015876,153455.13659033392
5.5497136,1.3348799,7.465598,276994.1186469845
5.288586,-1.7380185,4.7905025,240913.83661463292
-13.030487,-4.9904814,6.5388107,81087.92380978761
-13.117401,-4.952035,6.585887,107169.80332179954
5.3228316,-1.7845078,4.775936,233512.04962381182
-0.8485391,-0.024497032,0.17039084,235538.60291228478
-6.436044,-1.1850543,1.7049565,154700.49655983417
-5.124303,2.2732992,-16.742973,99307.5524889843
-2.1272125,0.78400993,-6.037112,136878.9669833226
-5.163986,1.5409966,-16.353466,126930.23822109177
-6.51052,-1.1527524,1.7850943,106824.64152327806
-5.0066867,1.4925508,-16.35707,134975.18394225574
5.08184,4.1071405,-0.22713804,163831.01508222616
5.3064704,-1.596623,4.648761,257162.55455545822
-4.5542507,-2.7356038,-3.9186676,128854.3638261944
-15.508049,3.0263348,10.389221,85589.75231851975
1.2651901,0.8652582,-0.50984716,185654.46184933514
5.351649,-1.7349744,4.6600657,234133.48661486403
1.201561,0.75949955,-0.38040566,222303.60966284905
8.804073,-0.964128,6.3477716,227133.19321590726
7.4429946,7.097892,-0.84437466,150181.7646896084
7.064585,6.852007,7.5036755,236692.7596781668
7.943126,-6.026122,6.82549,171432.09923005183
8.251757,-5.7086773,6.031888,183727.3669445461
7.961269,-6.0115695,6.8030996,174815.18265187572
4.3583016,1.6289539,7.026518,314889.67153473874
-2.237834,-0.85091305,-3.0233312,156680.3193563281
-2.5481868,1.3321333,-5.3124995,129488.78994515556
5.6030364,4.226574,0.33884144,151642.3015486443
10.87859,-1.5066261,6.1923933,189314.86701294951
2.2390532,1.3233232,-0.52817583,185474.3749282952
-4.3756504,1.7040739,-16.98457,138210.77130901974
-2.5392027,-0.091807365,-4.2574267,138097.80523572394
-3.761879,1.9855795,-18.159363,116725.64765755727
-5.643117,-7.9358573,-6.6573014,121239.45362727944
5.0250072,3.7746887,7.1666965,318556.32327725727
6.5774636,6.132737,6.4988756,265778.27822864894
8.958704,-0.7809572,6.3964252,225962.2725934615
5.8702445,1.0521612,7.572459,236721.85678404593
4.8250604,-1.8861513,5.7745514,222550.67558345292
7.421285,7.075963,-0.82480454,153034.10996663623
7.438418,7.093113,-0.8415532,153034.10996663623
6.6191907,6.923994,6.7664375,235539.72396956556
4.8914423,-2.2630591,5.686202,205244.25947235362
5.1881366,-2.9969316,5.4848404,187029.66665676568
-16.968952,1.1573267,9.905729,74637.1879560402
-10.052799,-8.034265,-8.26766,106461.4647735501
-3.3071585,-1.8430567,-1.9453605,117744.54938580099
-4.8170767,1.2400398,-16.14544,141859.59053250312
-13.012566,-4.8581963,6.6473656,110786.58293246767
8.000601,-0.6980362,-11.252285,132685.71281726484
5.940413,1.0187092,-10.761984,139136.44867101224
-15.463858,-8.25093,9.602459,82964.44095602215
5.50777,4.2048426,0.25241446,135925.94150377106
5.779076,-0.070137024,-10.338448,128351.55711134354
-15.527536,3.008191,10.371203,85589.75231851975
-3.04123,-0.84793615,-2.3629837,139331.67483567458
-4.807863,-2.439797,-3.6440017,119153.54837424163
-1.6113155,-1.1423159,-2.8090732,139962.9515594475
-16.95875,1.1674128,9.918683,74637.1879560402
-3.2954807,-1.8401747,-1.9012421,135281.51736199658
5.83406,0.69536114,-10.9676,113920.01729073885
-1.6011454,-0.31379032,0.07072306,125473.70633627604
-3.30673,-1.8388319,-1.9556825,129178.2438650068
-1.0811028,-0.033111572,0.32286882,189632.21045688432
5.5221972,0.5036297,7.4300194,212195.045598815
-1.3154016,-0.49661255,-0.07566142,178677.26479243056
5.337342,0.6174059,7.3836107,230819.35685714823
4.979562,-1.1352754,5.530857,304007.75637053396
11.183115,-1.4771476,6.2894745,192895.5417844799
2.4278646,2.6936388,11.380417,200695.48998241685
2.460402,2.6006823,11.404087,190564.34690827626
4.9961224,-1.1998124,5.4494476,253839.95018184642
-15.575356,2.9336805,10.323849,97415.3886366373
-15.462257,-8.252125,9.610552,85584.94650454033
7.5479236,-0.5170593,-11.339117,118715.29103919235
-13.074299,-4.861371,6.6557837,102686.36384701598
-15.619728,-7.8133817,9.390635,96235.6279932686
-3.9556594,1.3123417,-15.4141035,122809.32038822159
-16.968456,1.1578197,9.907555,77489.53323306804
5.81638,5.377777,5.4607706,274305.88199686765
3.5617847,3.3400564,8.5288315,241126.47654806636
-2.784158,0.6955061,-4.7688723,166965.34020044684
5.576072,5.2797174,4.754016,221912.67568875206
-2.5592864,1.3113413,-5.2790656,148570.64547095113
-1.3585947,0.4415903,-0.0153820515,181322.59602271978
-3.230696,-1.3026819,-2.3031814,155007.08153704205
5.9236875,-2.959694,4.989483,202046.2143599501
8.37122,-5.8626637,5.885046,166614.96099129837
3.5664954,2.3480864,-0.59786916,150729.67053207912
4.4290032,3.8005037,8.353023,284871.9673560902
8.84663,-0.92620134,6.3664436,222401.08111066103
3.073656,2.8731413,10.348198,233325.37120178534
4.6038733,5.053586,7.4606533,396167.09952637815
-4.077924,1.3451357,-15.443387,153591.07335960225
5.5804963,5.2325716,4.670396,174340.37117314507
-1.8837533,-0.5247574,-0.6915419,126170.08289854621
-4.1340337,2.857936,-2.223202,159026.66011429287
-15.589457,-1.6570163,5.5255604,100558.39104548442
-5.074853,1.1425037,-16.534506,137811.5854444008
-3.8745596,1.9323454,-17.988796,124523.9838692577
-15.46715,-8.254982,9.600572,82964.44095602215
-15.475267,-8.261285,9.590905,82964.44095602215
-15.457048,-8.242676,9.608383,82964.44095602215
-15.600388,-1.6580725,5.509534,97706.04576845659
2.602478,-8.343821,-17.893484,114788.71777353206
-4.472202,1.515688,-16.801212,150320.65419430454
-3.8214679,1.0263815,-16.354595,145076.25151840306
-1.1555877,-0.3166933,0.108235836,187722.88892634315
5.910296,4.618207,-0.2566266,143295.0581368496
-3.5967996,-0.88771915,-3.5971003,130800.12976867033
6.624533,6.267949,6.589957,265962.79560969427
1.1636128,0.7858696,-0.4130628,214789.0853306951
-2.1075168,0.7611208,-6.0814815,126737.38870446046
-2.8949087,0.79168797,-3.392255,159680.2002119935
4.8969,3.1600094,7.433551,366920.1415929075
2.7033825,1.6394949,-0.74198604,195213.59261154942
3.7817707,3.1032505,8.170828,275528.5985437361
10.912346,-1.5442643,6.1781244,187115.0566979453
4.9154034,5.477068,7.024891,368514.06490041007
11.157919,-2.8026643,5.4355593,178343.7191484937
5.023475,3.829362,7.183239,363329.53150790604
6.580156,6.1509066,6.5104647,272459.35308410873
2.362504,2.4312878,11.664893,205072.94413345418
6.6826024,6.6900196,6.738368,232528.79404747643
11.117798,-2.9399948,5.3819,175075.3058799675
10.316906,-1.3434086,6.196685,193732.50546182852
2.733644,1.6487465,-0.7272136,184671.3762743009
3.3732271,1.62574,-0.8072798,173468.6599625998
3.6428003,2.49957,-0.5487082,178099.8490398535
2.6903338,1.623846,-0.67858124,191497.37601357594
5.0631623,4.0912952,-0.21662474,168478.75496319798
3.327345,1.622282,-0.78859067,175668.470277604
3.6464353,2.4940948,-0.5342839,168374.21680087136
5.096708,4.1171446,-0.24123025,162353.9310095072
6.11085,0.9059267,7.6004953,220910.55584067415
5.102885,-2.9134526,5.5626698,187733.16123876
2.433669,2.8855267,11.204991,221456.47396660264
4.3696756,4.9448204,7.7390738,465360.9741330019
5.043485,3.9341211,7.106304,356117.04831246875
5.7381444,5.2952995,5.1039686,263241.06388754107
-1.9318833,-0.30525875,-0.71112204,173174.92355393825
5.2812676,0.48341084,7.428858,234154.97457107753
-2.842263,0.5440817,-3.1193156,186123.13210300097
6.3219056,-1.9714985,7.8015594,177490.3750172867
-3.4402337,1.2513638,-2.6274123,233582.723515205
5.3403277,-0.07767773,7.5353546,201452.73757745582
-2.6714275,0.8124876,-2.853436,174837.46447920054
5.287108,0.6459074,7.3621407,245726.2390925197
5.293714,-1.9195428,5.0708914,212950.45826002653
-2.3395498,-0.5236101,-2.9085355,182400.2862801095
4.925862,3.1517296,7.4167137,306618.12297414546
6.0553327,-1.1716361,7.6594963,184734.8994908863
6.314244,-1.904429,7.8690557,159631.1705419748
-1.9766228,-0.44061947,-0.87000656,168323.80093625162
8.795576,-0.95363,6.3630667,242361.51207949966
3.107882,2.8692694,10.307504,219828.51054012336
3.0908322,2.8752747,10.325652,236609.8007947114
3.072814,2.8658438,10.355071,235353.85403875838
-3.4233124,1.1747236,-2.657194,184294.7011668975
-3.0457156,1.0392189,-5.5554247,156180.71601505188
6.3752456,-2.2526126,7.969782,162438.6915853049
-2.7114947,0.02902031,-4.2498302,146399.54932315112
-1.6401126,0.10473347,0.062160492,166066.28369078424
-2.0341535,-0.64176464,-0.7271507,128761.80269741989
-5.779551,-6.5010214,-5.5442586,130116.04459918634
5.83697,0.929513,-10.886559,134650.56245523883
-4.034832,1.2221947,-15.356155,137161.06545266096
-3.7554572,1.9930468,-18.15673,118582.56403746636
-13.00453,-4.37567,6.8910885,109239.52633017658
-12.7222595,-4.1920295,6.762285,106466.20885525944
-12.730988,-4.1771383,6.77964,100362.93535826966
-12.700491,-4.1749687,6.761245,100362.93535826966
-12.726389,-4.1939073,6.77087,100362.93535826966
8.200413,-0.82211876,-11.1945095,119244.20782747385
-3.8939745,-0.7968397,-3.5909421,138826.41937698692
-4.8767242,-2.6288605,-3.8363645,116584.77065350201
8.250118,-0.85036373,-11.166351,119244.20782747385
8.22076,-0.84290314,-11.172647,125347.48132446362
-4.9142485,-2.62366,-3.83591,126310.40289248413
-3.0212445,1.0720644,-5.6409335,143154.9646070344
-1.6304442,-0.94112587,-3.0645857,154854.66582258252
-2.618556,-0.41388226,-4.021888,150023.39816392685
6.3677325,-2.2715173,7.9920807,150088.07095221712
-2.6663454,-0.13457775,-4.1693892,150683.21508122992
-2.6112149,-0.41140842,-4.0088935,154206.92654346026
-1.620088,-0.9580846,-3.0471168,156185.84892508807
-2.627281,-0.38650513,-4.013194,152169.8682988022
-2.6169107,-0.43455124,-3.9716358,157059.2718204881
6.3351264,-2.2867203,8.040193,131763.4198322717
-3.8309186,2.0368404,-18.093344,121434.9093144942
-4.036079,0.92411804,-15.113392,155776.17388126577
4.9783754,5.576997,6.9835043,363326.2209411791
4.445993,4.5759735,7.7886686,457553.0102409407
4.457292,4.5673065,7.7791567,482773.53210959525
4.128717,5.1688824,7.8775215,539867.8882556772
5.1956916,5.617113,6.741495,328845.4554549861
7.229858,7.046502,7.719798,272688.5639331528
5.036524,4.0193424,7.138254,356235.2189583197
4.4809813,4.3655386,7.970007,366814.9087988746
4.4590054,4.3322935,7.9962635,314141.1876892251
4.6302056,5.0984497,7.4276257,420451.88640094525
4.4812,5.010412,7.698681,423394.6251188262
4.474158,4.676676,7.851883,443928.63976158015
4.1245527,5.177638,7.873454,519138.24422983656
4.4757204,4.4314785,7.838004,491841.6691306826
4.992805,5.563113,6.920327,328777.7252856131
6.087686,5.429736,6.2878313,309996.87456802826
4.532813,3.9583912,8.245041,391073.1047323397
6.096392,5.324524,6.1266785,275863.9803122808
5.0313497,5.6020975,6.9101496,343069.6956572632
6.030439,5.3546934,6.069309,340712.8295939196
5.1304784,5.6472836,6.4351625,299557.74435812136
4.8800135,5.4411373,7.049835,352498.58395639504
4.490085,4.459052,7.935519,366703.2769320834
6.107845,5.2887077,6.1407433,303442.9447055699
6.613254,6.0585833,6.429471,285643.49628561456
5.1050096,-1.3648934,5.075742,260069.64588468155
4.856723,-2.112832,5.7138023,212538.5129490863
4.121272,5.1789074,7.8785553,484632.20461762254
4.1683607,5.12234,7.830902,486943.3516239744
3.8411632,3.0908976,8.124588,315610.7764300675
7.2612615,7.0786705,7.752187,240062.93317695914
-4.0850525,2.8009195,-2.2643332,199479.65072934527
-4.060862,2.7702208,-2.2932386,191674.61518334073
-4.078585,2.788684,-2.2764807,191674.61518334073
5.469424,-3.3351517,5.303811,205633.14137663704
5.3586173,-3.4790435,5.472167,205153.33047724713
4.131043,5.16103,7.8736906,503021.3627043867
5.038037,4.0431423,7.1334934,400246.1586554785
5.059265,5.599619,6.899231,330481.60839140014
5.1612124,5.644042,6.325883,247326.13461481384
6.138662,5.4151077,6.273921,319050.51137122617
2.1069002,2.8373203,11.67387,225010.63672250757
5.2239633,-3.0592184,5.470175,194529.75181476533
11.240311,-1.393343,6.363078,187918.05535193963
11.042414,-2.6585903,5.6007347,184446.99264548346
3.6612554,2.4530716,-0.50790787,177330.92531738483
3.625967,2.4531631,-0.5299344,179454.9767304014
3.3156338,1.7180738,-0.718061,181771.7437745938
6.056153,-2.7474246,4.8110476,208955.84552414084
5.9683566,-2.7399898,4.8201046,223247.81589579096
5.633288,-3.0925817,4.830161,200302.72465753998
5.6279483,-3.0992541,4.822935,200302.72465753998
8.328535,-5.772546,5.8339815,177498.12957112188
8.350414,-5.83733,5.873764,172637.96207657905
11.060469,-2.6957893,5.593199,180957.83190363692
-0.7046552,-0.0453043,0.28140044,231247.19307697518
11.037275,-2.9951267,5.483609,181178.57937695726
11.003162,-1.5986762,6.1526833,193218.3301949351
2.5078402,2.6195068,11.334146,199523.89618526935
11.042377,-1.6527152,6.127268,191741.24612221614
11.059689,-2.597526,5.6516476,189500.23798001136
10.982119,-3.032762,5.473217,178529.13190626408
5.3635793,-3.4715042,5.464423,205153.33047724713
5.650519,1.0199394,7.529463,245436.70780685614
4.49575,3.68114,8.315657,270607.8036213843
-0.70077515,-0.0076618195,0.24964643,236638.33486919253
10.987064,-3.002046,5.485677,173678.4942189576
1.1786132,0.7887459,-0.4311304,193982.69316218293
2.7499723,1.7010231,-0.7015486,183194.29220158193
11.160259,-2.862342,5.376197,174854.55840664712
4.338598,1.6339798,6.9926558,274616.24917470396
3.3164454,1.6050892,-0.7886424,184322.85109786745
6.0487304,0.9198799,7.650069,231904.71854529245
11.118477,-2.8167005,5.4404535,172817.5001619891
3.9339004,2.6531363,7.538698,359880.36014737585
3.9802341,2.6984138,7.5624456,349785.6276094107
4.0106955,2.8408604,7.7801056,333734.75210298033
3.969449,2.698535,7.5573864,321717.1188220144
3.9207926,2.6589823,7.579648,316489.0090262114
4.2178435,1.8986902,7.118541,287875.7176918719
5.0283203,3.7049341,7.1647177,320273.5002914311
4.29774,1.6926861,7.026087,285625.8045020485
6.100716,0.9740753,7.6304846,236721.85678404593
4.6766067,3.0212612,8.151191,266858.8496523453
3.968944,2.6893463,7.541688,353603.70256679476
8.906324,-1.0438619,6.289588,220230.61433313845
7.257116,7.0892115,7.7635803,235146.39153983313
7.071942,6.8600073,7.512663,236692.7596781668
7.2550597,7.0887537,7.75842,242116.69559180443
7.2061715,7.034487,7.7060614,245673.75015140494
6.5989814,6.054841,6.434924,275660.9893681648
5.4824615,5.4535065,5.5089273,229276.74691504764
6.173962,0.9633179,7.55093,236204.59381153362
4.151993,5.1414356,7.829917,473468.4388717339
8.899042,-0.8321085,6.3833275,225962.2725934615
2.9105783,2.7985315,10.618757,204770.92846507867
5.06671,4.090892,-0.22427392,163831.01508222616
5.564689,5.2757835,4.7139997,202372.76849000444
2.1286612,2.821165,11.658051,217510.5515645079
5.128958,-3.0481963,5.58689,191846.80489551916
6.7533917,6.788513,7.3467855,260948.30901473237
4.940084,5.5057726,7.002039,344242.56903924386
2.340479,2.4057655,11.692976,217617.95508813145
4.4792047,4.3329525,8.00924,324616.7442279881
4.3478913,3.687562,8.422802,246995.18554350047
3.6202884,3.2907171,8.45489,259042.49676471064
11.098833,-1.5536857,6.187806,196260.46137418394
6.6987367,6.5299053,6.7266655,260798.8853446313
5.3351874,-1.5608411,4.6180515,265705.2249806607
5.911691,1.0864239,7.5433826,244813.67355315998
8.301933,-5.7587137,5.889146,169998.04441312223
4.867904,-2.0561094,5.713258,224557.81335905375
2.1580334,-5.5986958,12.545103,192735.1935906931
7.941653,-6.177564,6.6183786,162401.25176352978
7.9537606,-6.5137258,6.1121845,156107.02945205738
5.718739,4.391636,-0.86499476,133072.2438637098
9.475994,-0.99417114,6.2908716,190215.4370543531
